condition_id,generation,item_id,truth_margin,truth_binary,best_answer_bonus
p1_homogeneous_accumulation,0,0,0.0864289277274668,1.0,0.0
p1_homogeneous_accumulation,0,1,0.050230214500572634,1.0,0.0
p1_homogeneous_accumulation,0,10,-0.05174952791771559,0.0,0.0
p1_homogeneous_accumulation,0,11,-0.005194248944902391,0.0,0.0
p1_homogeneous_accumulation,0,2,0.09095416238814535,1.0,0.0
p1_homogeneous_accumulation,0,3,0.021742139516835568,1.0,1.0
p1_homogeneous_accumulation,0,4,0.05332311256435285,1.0,0.0
p1_homogeneous_accumulation,0,5,0.05281188161807193,1.0,0.0
p1_homogeneous_accumulation,0,6,0.042741510838868124,1.0,0.0
p1_homogeneous_accumulation,0,7,-0.0014614699837642853,0.0,0.0
p1_homogeneous_accumulation,0,8,-0.037765422051481035,0.0,0.0
p1_homogeneous_accumulation,0,9,0.04262763691049409,1.0,0.0
p1_homogeneous_accumulation,1,0,0.03148135320125982,1.0,0.0
p1_homogeneous_accumulation,1,1,0.013801871001520746,1.0,0.0
p1_homogeneous_accumulation,1,10,-0.05775733875561442,0.0,0.0
p1_homogeneous_accumulation,1,11,0.02342374721333737,1.0,0.0
p1_homogeneous_accumulation,1,2,0.0480068676464708,1.0,0.0
p1_homogeneous_accumulation,1,3,-0.007548721411666175,0.0,0.0
p1_homogeneous_accumulation,1,4,-0.04705674893984045,0.0,0.0
p1_homogeneous_accumulation,1,5,0.01732622603111192,1.0,0.0
p1_homogeneous_accumulation,1,6,-0.07465612465529842,0.0,0.0
p1_homogeneous_accumulation,1,7,-0.021172513992383846,0.0,0.0
p1_homogeneous_accumulation,1,8,-0.031446839510960264,0.0,0.0
p1_homogeneous_accumulation,1,9,0.016789220092357417,1.0,0.0
p1_homogeneous_accumulation,2,0,0.0024411734605727653,1.0,0.0
p1_homogeneous_accumulation,2,1,0.029108071420847093,1.0,0.0
p1_homogeneous_accumulation,2,10,-0.01184641403094805,0.0,0.0
p1_homogeneous_accumulation,2,11,0.011739448161784585,1.0,0.0
p1_homogeneous_accumulation,2,2,0.022424958064851203,1.0,0.0
p1_homogeneous_accumulation,2,3,0.029015786731670767,1.0,0.0
p1_homogeneous_accumulation,2,4,0.03317131569184382,1.0,0.0
p1_homogeneous_accumulation,2,5,0.02152610018653439,1.0,0.0
p1_homogeneous_accumulation,2,6,0.022434785563017076,1.0,0.0
p1_homogeneous_accumulation,2,7,0.03982474284840426,1.0,0.0
p1_homogeneous_accumulation,2,8,-0.028403390471810293,0.0,0.0
p1_homogeneous_accumulation,2,9,-0.04375633014926528,0.0,0.0
p1_homogeneous_accumulation,3,0,0.005035590319657168,1.0,0.0
p1_homogeneous_accumulation,3,1,0.025063885616955814,1.0,0.0
p1_homogeneous_accumulation,3,10,-0.0028492757877679187,0.0,0.0
p1_homogeneous_accumulation,3,11,0.05096550496938941,1.0,0.0
p1_homogeneous_accumulation,3,2,0.006953486712790169,1.0,0.0
p1_homogeneous_accumulation,3,3,0.03541854562984115,1.0,0.0
p1_homogeneous_accumulation,3,4,-0.007515307851951453,0.0,0.0
p1_homogeneous_accumulation,3,5,0.004405390829580254,1.0,0.0
p1_homogeneous_accumulation,3,6,0.04174025537557091,1.0,0.0
p1_homogeneous_accumulation,3,7,-0.02628021441674161,0.0,0.0
p1_homogeneous_accumulation,3,8,0.0059148258578289314,1.0,0.0
p1_homogeneous_accumulation,3,9,0.017971203512556114,1.0,0.0
p1_homogeneous_replacement,0,0,0.07606782409636692,1.0,0.0
p1_homogeneous_replacement,0,1,0.04666461445898995,1.0,0.0
p1_homogeneous_replacement,0,10,-0.03184244348828669,0.0,0.0
p1_homogeneous_replacement,0,11,0.06523583637834696,1.0,0.0
p1_homogeneous_replacement,0,2,0.10106624562875977,1.0,0.0
p1_homogeneous_replacement,0,3,0.010305941679881414,1.0,0.0
p1_homogeneous_replacement,0,4,0.06358187533491977,1.0,0.0
p1_homogeneous_replacement,0,5,0.05670182255599743,1.0,0.0
p1_homogeneous_replacement,0,6,0.057177617964684346,1.0,0.0
p1_homogeneous_replacement,0,7,0.002378280492754681,1.0,0.0
p1_homogeneous_replacement,0,8,-0.03186033597839755,0.0,0.0
p1_homogeneous_replacement,0,9,0.08593400754277591,1.0,0.0
p1_homogeneous_replacement,1,0,0.023113166962075063,1.0,0.0
p1_homogeneous_replacement,1,1,0.018373675225994583,1.0,0.0
p1_homogeneous_replacement,1,10,-0.053784628993116014,0.0,0.0
p1_homogeneous_replacement,1,11,-0.0045097747768236135,0.0,0.0
p1_homogeneous_replacement,1,2,0.04972934739514981,1.0,0.0
p1_homogeneous_replacement,1,3,0.002782181787990178,1.0,0.0
p1_homogeneous_replacement,1,4,-0.012144683367731154,0.0,0.0
p1_homogeneous_replacement,1,5,0.01713126666946918,1.0,0.0
p1_homogeneous_replacement,1,6,-0.07343526983368431,0.0,0.0
p1_homogeneous_replacement,1,7,-0.017290863814223845,0.0,0.0
p1_homogeneous_replacement,1,8,-0.02379351542207503,0.0,0.0
p1_homogeneous_replacement,1,9,0.015454234657532769,1.0,0.0
p1_homogeneous_replacement,2,0,0.004685824891129092,1.0,0.0
p1_homogeneous_replacement,2,1,0.03795707107749018,1.0,0.0
p1_homogeneous_replacement,2,10,-0.013973151680072751,0.0,0.0
p1_homogeneous_replacement,2,11,0.012965068457857443,1.0,0.0
p1_homogeneous_replacement,2,2,0.021245901804419348,1.0,0.0
p1_homogeneous_replacement,2,3,0.029250494518669706,1.0,0.0
p1_homogeneous_replacement,2,4,0.013336367643777783,1.0,0.0
p1_homogeneous_replacement,2,5,0.02244723175709311,1.0,0.0
p1_homogeneous_replacement,2,6,0.007803132578132442,1.0,0.0
p1_homogeneous_replacement,2,7,0.03528095491085591,1.0,0.0
p1_homogeneous_replacement,2,8,-0.025794324389711236,0.0,0.0
p1_homogeneous_replacement,2,9,-0.04963332212871749,0.0,0.0
